title,vote_count,genres,popularity,id,vote_average,Weighted_Rating
The Avengers,12000.0,"['Science Fiction', 'Action', 'Adventure']",89.887648,24428,7.4,7.33780777958567
The King's Speech,2817.0,"['Drama', 'History']",11.260387,45269,7.6,7.335435844776449
Deadpool,11444.0,"['Action', 'Adventure', 'Comedy']",187.860492,293660,7.4,7.334896609813793
Ratatouille,4510.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",20.50803,2062,7.5,7.3348102611990775
How to Train Your Dragon,4319.0,"['Fantasy', 'Adventure', 'Animation', 'Family']",14.416681,10191,7.5,7.328172087390751
It's a Wonderful Life,1103.0,"['Drama', 'Family', 'Fantasy']",15.031588,1585,8.0,7.327457339862223
Stand by Me,1568.0,"['Crime', 'Drama']",15.206957,235,7.8,7.327023941742375
Me Before You,2674.0,"['Drama', 'Romance']",34.34759,296096,7.6,7.3232631696808985
Iron Man,8951.0,"['Action', 'Science Fiction', 'Adventure']",22.073099,1726,7.4,7.317602763065342
Cinema Paradiso,834.0,"['Drama', 'Romance']",14.177005,11216,8.2,7.316326444296716
Die Hard,4005.0,"['Action', 'Thriller']",16.640522,562,7.5,7.316017556064032
Heat,1886.0,"['Action', 'Crime', 'Drama', 'Thriller']",17.924927,949,7.7,7.310561177313894
Captain Phillips,2495.0,"['Action', 'Drama', 'Thriller']",13.776068,109424,7.6,7.30635094959653
Edward Scissorhands,3731.0,"['Fantasy', 'Drama', 'Romance']",17.612244,162,7.5,7.303914029140033
The Hunger Games: Catching Fire,6656.0,"['Adventure', 'Action', 'Science Fiction']",25.309139,101299,7.4,7.290931160982827
Hachi: A Dog's Tale,1769.0,"['Drama', 'Family']",8.621359,28178,7.7,7.289878316553898
Pride & Prejudice,1406.0,"['Drama', 'Romance']",14.439083,4348,7.8,7.285381484439259
Cast Away,3304.0,"['Adventure', 'Drama']",21.296343,8358,7.5,7.281514695390112
Modern Times,881.0,"['Drama', 'Comedy']",8.159556,3082,8.1,7.28091401624961
Harry Potter and the Chamber of Secrets,5966.0,"['Adventure', 'Fantasy', 'Family']",29.741452,672,7.4,7.279172176776288
Harry Potter and the Order of the Phoenix,5633.0,"['Adventure', 'Fantasy', 'Family', 'Mystery']",21.3643,675,7.4,7.272540288671212
The Lego Movie,3127.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",16.418133,137106,7.5,7.270654852953731
"Love, Rosie",1660.0,"['Comedy', 'Romance']",14.566103,200727,7.7,7.268530053184449
Harry Potter and the Half-Blood Prince,5435.0,"['Adventure', 'Fantasy', 'Family']",19.083723,767,7.4,7.268240233663016
Casino,1343.0,"['Drama', 'Crime']",10.137389,524,7.8,7.267136708704691
The Nightmare Before Christmas,2135.0,"['Fantasy', 'Animation', 'Family']",17.730913,9479,7.6,7.265201218905504
The Incredibles,5290.0,"['Action', 'Adventure', 'Animation', 'Family']",22.220214,9806,7.4,7.264902503733095
Beauty and the Beast,3029.0,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",23.433511,10020,7.5,7.264164577351498
Rogue One: A Star Wars Story,5111.0,"['Action', 'Adventure', 'Science Fiction']",36.567575,330459,7.4,7.2605413762611795
Mulan,2089.0,"['Animation', 'Family', 'Adventure']",21.180857,10674,7.6,7.259097079416661
Big Fish,2064.0,"['Adventure', 'Fantasy', 'Drama']",14.739983,587,7.6,7.255685320803938
Birdman,4657.0,"['Drama', 'Comedy']",18.193263,194662,7.4,7.248104877503092
American Sniper,4600.0,"['War', 'Action']",19.228561,190859,7.4,7.24638496848793
Star Trek,4574.0,"['Science Fiction', 'Action', 'Adventure']",15.362632,13475,7.4,7.2455874463594725
Star Trek Into Darkness,4479.0,"['Action', 'Adventure', 'Science Fiction']",15.78129,54138,7.4,7.242601655071899
Mommy,734.0,['Drama'],14.876086,265177,8.2,7.240669461787872
Dunkirk,2712.0,"['Action', 'Drama', 'History', 'Thriller', 'War']",30.938854,374720,7.5,7.240401122494672
Mulholland Drive,1517.0,"['Thriller', 'Drama', 'Mystery']",18.184056,1018,7.7,7.236905141654657
The Terminator,4208.0,"['Action', 'Thriller', 'Science Fiction']",19.293562,218,7.4,7.233412738338698
Jaws,2628.0,"['Horror', 'Thriller', 'Adventure']",19.726114,578,7.5,7.233279533431822
Band of Brothers,725.0,"['Action', 'Drama', 'War']",7.903731,331214,8.2,7.233219958039892
The Boy in the Striped Pyjamas,1492.0,"['War', 'Drama']",8.912738,14574,7.7,7.230894045362532
Mad Max: Fury Road,9629.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",29.36178,76341,7.3,7.227467150091248
Fury,4028.0,"['War', 'Drama', 'Action']",36.713807,228150,7.4,7.2266924991860675
Back to the Future Part II,3926.0,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",13.689855,165,7.4,7.222638057653266
Moon,1831.0,"['Science Fiction', 'Drama']",13.336773,17431,7.6,7.220265753363459
Shaun of the Dead,2479.0,"['Horror', 'Comedy']",14.902948,747,7.5,7.219636776988753
Drive,3832.0,"['Drama', 'Action', 'Thriller', 'Crime']",15.388875,64690,7.4,7.218729941717825
Rain Man,1762.0,['Drama'],11.267467,380,7.6,7.208334212827065
Aladdin,3495.0,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",16.357419,812,7.4,7.203181962679623
Straight Outta Compton,1381.0,"['Drama', 'Music']",21.183077,277216,7.7,7.202204920864042
Avengers: Age of Ultron,6908.0,"['Action', 'Adventure', 'Science Fiction']",37.37942,99861,7.3,7.200585934536671
Tangled,3419.0,"['Animation', 'Family']",14.684761,38757,7.4,7.199299748603228
The Lives of Others,977.0,"['Drama', 'Thriller']",9.02255,582,7.9,7.198158704017177
Moonrise Kingdom,1701.0,"['Comedy', 'Drama', 'Romance']",8.692433,83666,7.6,7.197143761764981
The Revenant,6558.0,"['Western', 'Drama', 'Adventure', 'Thriller']",23.501228,281957,7.3,7.195609543959988
The Great Dictator,756.0,['Comedy'],9.241748,914,8.1,7.19487557257835
L.A. Confidential,1340.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",10.989442,2118,7.7,7.1907000740519935
Amadeus,1107.0,"['Drama', 'History', 'Music']",12.677592,279,7.8,7.185530130673742
Some Like It Hot,835.0,"['Comedy', 'Romance']",11.845107,239,8.0,7.1854231137653555
The Conjuring,3169.0,"['Horror', 'Thriller']",14.90169,138843,7.4,7.185373836072228
Gravity,5879.0,"['Science Fiction', 'Thriller', 'Drama']",18.50194,49047,7.3,7.184381741068942
The Hunt,946.0,['Drama'],8.462801,103663,7.9,7.182392703890026
Now You See Me,5635.0,"['Thriller', 'Crime']",17.852022,75656,7.3,7.179733387933472
Chinatown,939.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",12.29227,829,7.9,7.178734108789684
